s1,s2,Re(r_ex.11),Im(r_ex.11),Abs(r_ex.11),Arg(r_ex.11),Re(r_ex.21),Im(r_ex.21),Abs(r_ex.21),Arg(r_ex.21),Re(r_ex.12),Im(r_ex.12),Abs(r_ex.12),Arg(r_ex.12),Re(r_ex.22),Im(r_ex.22),Abs(r_ex.22),Arg(r_ex.22)
+5.10000000E-01,+0.00000000E+00,-6.45021458E-01,-6.08045608E-01,+8.86437896E-01,-2.38569421E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.86598595E-01,-7.20517065E-01,+8.69438344E-01,-2.16478392E+00
+5.20000000E-01,+0.00000000E+00,-6.47919592E-01,-6.05479083E-01,+8.86794631E-01,-2.39004190E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.81971536E-01,-7.23070655E-01,+8.68980859E-01,-2.15872657E+00
+5.30000000E-01,+0.00000000E+00,-6.50899867E-01,-6.02822595E-01,+8.87167244E-01,-2.39452333E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.77157621E-01,-7.25693694E-01,+8.68510641E-01,-2.15243939E+00
+5.40000000E-01,+0.00000000E+00,-6.53964201E-01,-6.00072773E-01,+8.87556482E-01,-2.39914242E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.72147958E-01,-7.28387265E-01,+8.68027477E-01,-2.14591222E+00
+5.50000000E-01,+0.00000000E+00,-6.57114604E-01,-5.97226037E-01,+8.87963142E-01,-2.40390332E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.66933009E-01,-7.31152430E-01,+8.67531159E-01,-2.13913422E+00
+5.60000000E-01,+0.00000000E+00,-6.60353182E-01,-5.94278586E-01,+8.88388070E-01,-2.40881041E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.61502538E-01,-7.33990227E-01,+8.67021480E-01,-2.13209376E+00
+5.70000000E-01,+0.00000000E+00,-6.63682140E-01,-5.91226375E-01,+8.88832161E-01,-2.41386834E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.55845546E-01,-7.36901652E-01,+8.66498244E-01,-2.12477837E+00
+5.80000000E-01,+0.00000000E+00,-6.67103794E-01,-5.88065102E-01,+8.89296371E-01,-2.41908202E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.49950195E-01,-7.39887648E-01,+8.65961263E-01,-2.11717462E+00
+5.90000000E-01,+0.00000000E+00,-6.70620570E-01,-5.84790179E-01,+8.89781716E-01,-2.42445664E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.43803732E-01,-7.42949087E-01,+8.65410364E-01,-2.10926809E+00
+6.00000000E-01,+0.00000000E+00,-6.74235020E-01,-5.81396712E-01,+8.90289279E-01,-2.42999773E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.37392397E-01,-7.46086750E-01,+8.64845389E-01,-2.10104322E+00
