s,n,Re(f_ex.tm),Im(f_ex.tm),Abs(f_ex.tm),Arg(f_ex.tm),Re(f_ex.te),Im(f_ex.te),Abs(f_ex.te),Arg(f_ex.te)
+6.30000000E-01,+0.00000000E+00,-1.08608906E-01,+2.63869535E-01,+2.85347202E-01,+1.96126320E+00,-5.53485325E-01,-3.85498559E-01,+6.74503628E-01,-2.53322438E+00
+6.40000000E-01,+0.00000000E+00,-1.05692952E-01,+2.60117358E-01,+2.80770440E-01,+1.95674590E+00,-5.45335541E-01,-3.86507052E-01,+6.68414957E-01,-2.52501772E+00
+6.50000000E-01,+0.00000000E+00,-1.02744717E-01,+2.56248675E-01,+2.76079445E-01,+1.95212749E+00,-5.36748021E-01,-3.87442187E-01,+6.61974234E-01,-2.51636376E+00
+6.60000000E-01,+0.00000000E+00,-9.97654690E-02,+2.52259889E-01,+2.71271451E-01,+1.94740601E+00,-5.27699217E-01,-3.88284999E-01,+6.55157771E-01,-2.50723685E+00
+6.70000000E-01,+0.00000000E+00,-9.67565666E-02,+2.48147249E-01,+2.66343557E-01,+1.94257943E+00,-5.18164848E-01,-3.89013716E-01,+6.47940183E-01,-2.49760992E+00
+6.80000000E-01,+0.00000000E+00,-9.37194625E-02,+2.43906842E-01,+2.61292720E-01,+1.93764560E+00,-5.08120040E-01,-3.89603416E-01,+6.40294305E-01,-2.48745450E+00
+6.90000000E-01,+0.00000000E+00,-9.06557125E-02,+2.39534584E-01,+2.56115745E-01,+1.93260228E+00,-4.97539533E-01,-3.90025662E-01,+6.32191113E-01,-2.47674067E+00
+7.00000000E-01,+0.00000000E+00,-8.75669826E-02,+2.35026203E-01,+2.50809275E-01,+1.92744710E+00,-4.86397935E-01,-3.90248095E-01,+6.23599653E-01,-2.46543705E+00
+7.10000000E-01,+0.00000000E+00,-8.44550567E-02,+2.30377235E-01,+2.45369776E-01,+1.92217762E+00,-4.74670068E-01,-3.90234019E-01,+6.14486992E-01,-2.45351086E+00
+7.20000000E-01,+0.00000000E+00,-8.13218462E-02,+2.25583007E-01,+2.39793527E-01,+1.91679122E+00,-4.62331392E-01,-3.89941965E-01,+6.04818198E-01,-2.44092798E+00
+7.30000000E-01,+0.00000000E+00,-7.81693989E-02,+2.20638621E-01,+2.34076603E-01,+1.91128520E+00,-4.49358545E-01,-3.89325240E-01,+5.94556343E-01,-2.42765299E+00
+7.40000000E-01,+0.00000000E+00,-7.49999101E-02,+2.15538940E-01,+2.28214858E-01,+1.90565668E+00,-4.35730003E-01,-3.88331493E-01,+5.83662561E-01,-2.41364936E+00
+7.50000000E-01,+0.00000000E+00,-7.18157336E-02,+2.10278572E-01,+2.22203910E-01,+1.89990264E+00,-4.21426885E-01,-3.86902304E-01,+5.72096156E-01,-2.39887959E+00
+7.60000000E-01,+0.00000000E+00,-6.86193949E-02,+2.04851845E-01,+2.16039116E-01,+1.89401991E+00,-4.06433915E-01,-3.84972816E-01,+5.59814788E-01,-2.38330551E+00
+7.70000000E-01,+0.00000000E+00,-6.54136045E-02,+1.99252788E-01,+2.09715553E-01,+1.88800514E+00,-3.90740571E-01,-3.82471469E-01,+5.46774742E-01,-2.36688856E+00
+7.80000000E-01,+0.00000000E+00,-6.22012731E-02,+1.93475105E-01,+2.03227986E-01,+1.88185479E+00,-3.74342417E-01,-3.79319844E-01,+5.32931318E-01,-2.34959027E+00
+7.90000000E-01,+0.00000000E+00,-5.89855288E-02,+1.87512145E-01,+1.96570845E-01,+1.87556511E+00,-3.57242639E-01,-3.75432700E-01,+5.18239342E-01,-2.33137268E+00
+8.00000000E-01,+0.00000000E+00,-5.57697350E-02,+1.81356873E-01,+1.89738185E-01,+1.86913215E+00,-3.39453779E-01,-3.70718248E-01,+5.02653845E-01,-2.31219910E+00
+8.10000000E-01,+0.00000000E+00,-5.25575113E-02,+1.75001828E-01,+1.82723648E-01,+1.86255172E+00,-3.20999653E-01,-3.65078753E-01,+4.86130921E-01,-2.29203477E+00
+8.20000000E-01,+0.00000000E+00,-4.93527557E-02,+1.68439079E-01,+1.75520420E-01,+1.85581937E+00,-3.01917414E-01,-3.58411526E-01,+4.68628795E-01,-2.27084782E+00
+8.30000000E-01,+0.00000000E+00,-4.61596705E-02,+1.61660182E-01,+1.68121175E-01,+1.84893040E+00,-2.82259712E-01,-3.50610422E-01,+4.50109113E-01,-2.24861033E+00
+8.40000000E-01,+0.00000000E+00,-4.29827897E-02,+1.54656113E-01,+1.60518016E-01,+1.84187979E+00,-2.62096845E-01,-3.41567912E-01,+4.30538493E-01,-2.22529953E+00
+8.50000000E-01,+0.00000000E+00,-3.98270109E-02,+1.47417202E-01,+1.52702398E-01,+1.83466221E+00,-2.41518787E-01,-3.31177825E-01,+4.09890322E-01,-2.20089914E+00
+8.60000000E-01,+0.00000000E+00,-3.66976304E-02,+1.39933051E-01,+1.44665044E-01,+1.82727201E+00,-2.20636928E-01,-3.19338822E-01,+3.88146799E-01,-2.17540092E+00
+8.70000000E-01,+0.00000000E+00,-3.36003830E-02,+1.32192433E-01,+1.36395840E-01,+1.81970316E+00,-1.99585307E-01,-3.05958619E-01,+3.65301207E-01,-2.14880621E+00
+8.80000000E-01,+0.00000000E+00,-3.05414862E-02,+1.24183170E-01,+1.27883706E-01,+1.81194925E+00,-1.78521105E-01,-2.90958955E-01,+3.41360364E-01,-2.12112762E+00
+8.90000000E-01,+0.00000000E+00,-2.75276910E-02,+1.15891984E-01,+1.19116437E-01,+1.80400345E+00,-1.57624136E-01,-2.74281184E-01,+3.16347177E-01,-2.09239070E+00
+9.00000000E-01,+0.00000000E+00,-2.45663383E-02,+1.07304306E-01,+1.10080511E-01,+1.79585854E+00,-1.37095068E-01,-2.55892342E-01,+2.90303201E-01,-2.06263552E+00
+9.10000000E-01,+0.00000000E+00,-2.16654229E-02,+9.84040380E-02,+1.00760832E-01,+1.78750690E+00,-1.17152149E-01,-2.35791381E-01,+2.63291097E-01,-2.03191804E+00
+9.20000000E-01,+0.00000000E+00,-1.88336650E-02,+8.91732372E-02,+9.11404036E-02,+1.77894053E+00,-9.80262690E-02,-2.14015239E-01,+2.35396840E-01,-2.00031126E+00
+9.30000000E-01,+0.00000000E+00,-1.60805888E-02,+7.95916925E-02,+8.11998944E-02,+1.77015124E+00,-7.99543360E-02,-1.90644309E-01,+2.06731585E-01,-1.96790576E+00
+9.40000000E-01,+0.00000000E+00,-1.34166076E-02,+6.96363411E-02,+7.09170315E-02,+1.76113085E+00,-6.31710761E-02,-1.65806899E-01,+1.77433121E-01,-1.93480975E+00
+9.50000000E-01,+0.00000000E+00,-1.08531067E-02,+5.92804255E-02,+6.02657347E-02,+1.75187175E+00,-4.78995849E-02,-1.39682391E-01,+1.47666992E-01,-1.90114800E+00
+9.60000000E-01,+0.00000000E+00,-8.40251027E-03,+4.84922100E-02,+4.92148007E-02,+1.74236822E+00,-3.43411662E-02,-1.12503100E-01,+1.17627647E-01,-1.86705935E+00
+9.70000000E-01,+0.00000000E+00,-6.07828185E-03,+3.72328732E-02,+3.77257519E-02,+1.73261925E+00,-2.26652305E-02,-8.45555892E-02,+8.75406211E-02,-1.83269092E+00
+9.80000000E-01,+0.00000000E+00,-3.89471519E-03,+2.54526360E-02,+2.57488929E-02,+1.72263669E+00,-1.30003726E-02,-5.61840847E-02,+5.76685448E-02,-1.79818342E+00
+9.90000000E-01,+0.00000000E+00,-1.86595169E-03,+1.30821025E-02,+1.32145065E-02,+1.71247463E+00,-5.42893635E-03,-2.78054761E-02,+2.83305110E-02,-1.76361756E+00
+1.00000000E+00,+0.00000000E+00,-1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+3.14159265E+00,+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00
+0.00000000E+00,+1.00000000E+00,-3.76876893E-02,-1.41177513E-01,+1.46121361E-01,-1.83166555E+00,-6.83570953E-01,-2.81769641E-02,+6.84151437E-01,-3.10039573E+00
+1.00000000E-02,+1.00000000E+00,-3.77298637E-02,-1.41150833E-01,+1.46106469E-01,-1.83199154E+00,-6.83530142E-01,-2.81747861E-02,+6.84110571E-01,-3.10039645E+00
+2.00000000E-02,+1.00000000E+00,-3.78563984E-02,-1.41070806E-01,+1.46061902E-01,-1.83296995E+00,-6.83407719E-01,-2.81682163E-02,+6.83987982E-01,-3.10039868E+00
+3.00000000E-02,+1.00000000E+00,-3.80673277E-02,-1.40937473E-01,+1.45987989E-01,-1.83460213E+00,-6.83203715E-01,-2.81571473E-02,+6.83783694E-01,-3.10040257E+00
+4.00000000E-02,+1.00000000E+00,-3.83627086E-02,-1.40750902E-01,+1.45885276E-01,-1.83689031E+00,-6.82918178E-01,-2.81414005E-02,+6.83497751E-01,-3.10040838E+00
+5.00000000E-02,+1.00000000E+00,-3.87426201E-02,-1.40511187E-01,+1.45754534E-01,-1.83983758E+00,-6.82551178E-01,-2.81207260E-02,+6.83130212E-01,-3.10041650E+00
+6.00000000E-02,+1.00000000E+00,-3.92071630E-02,-1.40218449E-01,+1.45596755E-01,-1.84344786E+00,-6.82102808E-01,-2.80948032E-02,+6.82681154E-01,-3.10042740E+00
+7.00000000E-02,+1.00000000E+00,-3.97564585E-02,-1.39872835E-01,+1.45413156E-01,-1.84772585E+00,-6.81573177E-01,-2.80632410E-02,+6.82150673E-01,-3.10044168E+00
+8.00000000E-02,+1.00000000E+00,-4.03906481E-02,-1.39474518E-01,+1.45205185E-01,-1.85267698E+00,-6.80962420E-01,-2.80255785E-02,+6.81538884E-01,-3.10046003E+00
+9.00000000E-02,+1.00000000E+00,-4.11098916E-02,-1.39023699E-01,+1.44974522E-01,-1.85830738E+00,-6.80270691E-01,-2.79812858E-02,+6.80845919E-01,-3.10048325E+00
+1.00000000E-01,+1.00000000E+00,-4.19143665E-02,-1.38520600E-01,+1.44723083E-01,-1.86462372E+00,-6.79498169E-01,-2.79297641E-02,+6.80071932E-01,-3.10051226E+00
+1.10000000E-01,+1.00000000E+00,-4.28042663E-02,-1.37965471E-01,+1.44453025E-01,-1.87163323E+00,-6.78645056E-01,-2.78703475E-02,+6.79217099E-01,-3.10054808E+00
+1.20000000E-01,+1.00000000E+00,-4.37797986E-02,-1.37358585E-01,+1.44166750E-01,-1.87934349E+00,-6.77711578E-01,-2.78023028E-02,+6.78281616E-01,-3.10059185E+00
+1.30000000E-01,+1.00000000E+00,-4.48411839E-02,-1.36700239E-01,+1.43866907E-01,-1.88776238E+00,-6.76697986E-01,-2.77248317E-02,+6.77265702E-01,-3.10064479E+00
+1.40000000E-01,+1.00000000E+00,-4.59886531E-02,-1.35990750E-01,+1.43556401E-01,-1.89689791E+00,-6.75604559E-01,-2.76370710E-02,+6.76169600E-01,-3.10070828E+00
+1.50000000E-01,+1.00000000E+00,-4.72224458E-02,-1.35230460E-01,+1.43238391E-01,-1.90675807E+00,-6.74431602E-01,-2.75380944E-02,+6.74993580E-01,-3.10078376E+00
+1.60000000E-01,+1.00000000E+00,-4.85428077E-02,-1.34419728E-01,+1.42916296E-01,-1.91735066E+00,-6.73179449E-01,-2.74269137E-02,+6.73737935E-01,-3.10087282E+00
+1.70000000E-01,+1.00000000E+00,-4.99499888E-02,-1.33558937E-01,+1.42593797E-01,-1.92868308E+00,-6.71848461E-01,-2.73024802E-02,+6.72402989E-01,-3.10097715E+00
+1.80000000E-01,+1.00000000E+00,-5.14442399E-02,-1.32648483E-01,+1.42274839E-01,-1.94076212E+00,-6.70439032E-01,-2.71636864E-02,+6.70989092E-01,-3.10109854E+00
+1.90000000E-01,+1.00000000E+00,-5.30258109E-02,-1.31688782E-01,+1.41963629E-01,-1.95359374E+00,-6.68951586E-01,-2.70093676E-02,+6.69496625E-01,-3.10123890E+00
+2.00000000E-01,+1.00000000E+00,-5.46949472E-02,-1.30680265E-01,+1.41664635E-01,-1.96718279E+00,-6.67386581E-01,-2.68383038E-02,+6.67926001E-01,-3.10140028E+00
+2.10000000E-01,+1.00000000E+00,-5.64518873E-02,-1.29623375E-01,+1.41382583E-01,-1.98153273E+00,-6.65744506E-01,-2.66492214E-02,+6.66277666E-01,-3.10158481E+00
