s1,s2,Re(r_ibc3_reduced.tm),Im(r_ibc3_reduced.tm),Abs(r_ibc3_reduced.tm),Arg(r_ibc3_reduced.tm),Re(r_ibc3_reduced.te),Im(r_ibc3_reduced.te),Abs(r_ibc3_reduced.te),Arg(r_ibc3_reduced.te)
+5.00000000E-01,+0.00000000E+00,-8.14211429E-01,+5.80568470E-01,+1.00000000E+00,+2.52216595E+00,-8.35666268E-01,+5.49237551E-01,+1.00000000E+00,+2.56014107E+00
+5.05000000E-01,+0.00000000E+00,-8.15734512E-01,+5.78426492E-01,+1.00000000E+00,+2.52479423E+00,-8.37440045E-01,+5.46529205E-01,+1.00000000E+00,+2.56337858E+00
+5.10000000E-01,+0.00000000E+00,-8.17280371E-01,+5.76240223E-01,+1.00000000E+00,+2.52747182E+00,-8.39230951E-01,+5.43775148E-01,+1.00000000E+00,+2.56666372E+00
+5.15000000E-01,+0.00000000E+00,-8.18849253E-01,+5.74008625E-01,+1.00000000E+00,+2.53019971E+00,-8.41038933E-01,+5.40974595E-01,+1.00000000E+00,+2.56999718E+00
+5.20000000E-01,+0.00000000E+00,-8.20441405E-01,+5.71730619E-01,+1.00000000E+00,+2.53297897E+00,-8.42863937E-01,+5.38126736E-01,+1.00000000E+00,+2.57337962E+00
+5.25000000E-01,+0.00000000E+00,-8.22057078E-01,+5.69405093E-01,+1.00000000E+00,+2.53581066E+00,-8.44705900E-01,+5.35230737E-01,+1.00000000E+00,+2.57681177E+00
+5.30000000E-01,+0.00000000E+00,-8.23696524E-01,+5.67030895E-01,+1.00000000E+00,+2.53869590E+00,-8.46564761E-01,+5.32285737E-01,+1.00000000E+00,+2.58029436E+00
+5.35000000E-01,+0.00000000E+00,-8.25359998E-01,+5.64606831E-01,+1.00000000E+00,+2.54163584E+00,-8.48440450E-01,+5.29290850E-01,+1.00000000E+00,+2.58382813E+00
+5.40000000E-01,+0.00000000E+00,-8.27047755E-01,+5.62131667E-01,+1.00000000E+00,+2.54463166E+00,-8.50332895E-01,+5.26245159E-01,+1.00000000E+00,+2.58741388E+00
+5.45000000E-01,+0.00000000E+00,-8.28760053E-01,+5.59604123E-01,+1.00000000E+00,+2.54768460E+00,-8.52242020E-01,+5.23147722E-01,+1.00000000E+00,+2.59105241E+00
