s1,s2,Re(z_ibc3_reduced.tm),Im(z_ibc3_reduced.tm),Abs(z_ibc3_reduced.tm),Arg(z_ibc3_reduced.tm),Re(z_ibc3_reduced.te),Im(z_ibc3_reduced.te),Abs(z_ibc3_reduced.te),Arg(z_ibc3_reduced.te)
+4.15000000E-01,+0.00000000E+00,+0.00000000E+00,-3.22832422E+00,+3.22832422E+00,-1.57079633E+00,+0.00000000E+00,-3.38034155E+00,+3.38034155E+00,-1.57079633E+00
+4.20000000E-01,+0.00000000E+00,+0.00000000E+00,-3.24665206E+00,+3.24665206E+00,-1.57079633E+00,+0.00000000E+00,-3.40337071E+00,+3.40337071E+00,-1.57079633E+00
+4.25000000E-01,+0.00000000E+00,+0.00000000E+00,-3.26544456E+00,+3.26544456E+00,-1.57079633E+00,+0.00000000E+00,-3.42698372E+00,+3.42698372E+00,-1.57079633E+00
+4.30000000E-01,+0.00000000E+00,+0.00000000E+00,-3.28471552E+00,+3.28471552E+00,-1.57079633E+00,+0.00000000E+00,-3.45119792E+00,+3.45119792E+00,-1.57079633E+00
+4.35000000E-01,+0.00000000E+00,+0.00000000E+00,-3.30447933E+00,+3.30447933E+00,-1.57079633E+00,+0.00000000E+00,-3.47603139E+00,+3.47603139E+00,-1.57079633E+00
+4.40000000E-01,+0.00000000E+00,+0.00000000E+00,-3.32475103E+00,+3.32475103E+00,-1.57079633E+00,+0.00000000E+00,-3.50150304E+00,+3.50150304E+00,-1.57079633E+00
+4.45000000E-01,+0.00000000E+00,+0.00000000E+00,-3.34554634E+00,+3.34554634E+00,-1.57079633E+00,+0.00000000E+00,-3.52763260E+00,+3.52763260E+00,-1.57079633E+00
+4.50000000E-01,+0.00000000E+00,+0.00000000E+00,-3.36688165E+00,+3.36688165E+00,-1.57079633E+00,+0.00000000E+00,-3.55444068E+00,+3.55444068E+00,-1.57079633E+00
+4.55000000E-01,+0.00000000E+00,+0.00000000E+00,-3.38877412E+00,+3.38877412E+00,-1.57079633E+00,+0.00000000E+00,-3.58194884E+00,+3.58194884E+00,-1.57079633E+00
+4.60000000E-01,+0.00000000E+00,+0.00000000E+00,-3.41124170E+00,+3.41124170E+00,-1.57079633E+00,+0.00000000E+00,-3.61017963E+00,+3.61017963E+00,-1.57079633E+00
