               s1;              s2;     Re(z_ex.tm);     Im(z_ex.tm);    Abs(z_ex.tm);    Arg(z_ex.tm);     Re(z_ex.te);     Im(z_ex.te);    Abs(z_ex.te);    Arg(z_ex.te); 
  +9.40000000E-01; +0.00000000E+00; +1.38777878E-17; -3.72548274E-01; +3.72548274E-01; -1.57079633E+00; +3.21964677E-15; -1.25759555E+00; +1.25759555E+00; -1.57079633E+00; 
  +9.50000000E-01; +0.00000000E+00; -9.71445147E-17; -3.68706957E-01; +3.68706957E-01; -1.57079633E+00; +8.88178420E-16; -1.25035404E+00; +1.25035404E+00; -1.57079633E+00; 
  +9.60000000E-01; +0.00000000E+00; +4.16333634E-17; -3.64853888E-01; +3.64853888E-01; -1.57079633E+00; +3.33066907E-15; -1.24312828E+00; +1.24312828E+00; -1.57079633E+00; 
  +9.70000000E-01; +0.00000000E+00; -1.24900090E-16; -3.60989615E-01; +3.60989615E-01; -1.57079633E+00; +4.44089210E-16; -1.23591942E+00; +1.23591942E+00; -1.57079633E+00; 
  +9.80000000E-01; +0.00000000E+00; -4.16333634E-17; -3.57114682E-01; +3.57114682E-01; -1.57079633E+00; -7.77156117E-16; -1.22872854E+00; +1.22872854E+00; -1.57079633E+00; 
  +9.90000000E-01; +0.00000000E+00; -2.77555756E-17; -3.53229622E-01; +3.53229622E-01; -1.57079633E+00; +1.77635684E-15; -1.22155670E+00; +1.22155670E+00; -1.57079633E+00; 
  +1.00000000E+00; +0.00000000E+00; -6.93889390E-17; -3.49334963E-01; +3.49334963E-01; -1.57079633E+00; -5.55111512E-16; -1.21440492E+00; +1.21440492E+00; -1.57079633E+00; 
  +1.01000000E+00; +0.00000000E+00; +5.55111512E-17; -3.45431226E-01; +3.45431226E-01; -1.57079633E+00; +0.00000000E+00; -1.20727420E+00; +1.20727420E+00; -1.57079633E+00; 
  +1.02000000E+00; +0.00000000E+00; +4.16333634E-17; -3.41518923E-01; +3.41518923E-01; -1.57079633E+00; -5.55111512E-16; -1.20016548E+00; +1.20016548E+00; -1.57079633E+00; 
  +1.03000000E+00; +0.00000000E+00; -2.91433544E-16; -3.37598561E-01; +3.37598561E-01; -1.57079633E+00; -1.66533454E-15; -1.19307970E+00; +1.19307970E+00; -1.57079633E+00; 
