s1,s2,Re(r_ex.11),Im(r_ex.11),Abs(r_ex.11),Arg(r_ex.11),Re(r_ex.21),Im(r_ex.21),Abs(r_ex.21),Arg(r_ex.21),Re(r_ex.12),Im(r_ex.12),Abs(r_ex.12),Arg(r_ex.12),Re(r_ex.22),Im(r_ex.22),Abs(r_ex.22),Arg(r_ex.22)
+5.80000000E-01,+0.00000000E+00,+7.20128889E-01,-6.93840316E-01,+1.00000000E+00,+1.36065123E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.42620014E-01,-5.38508600E-01,+1.00000000E+00,+1.47417830E+02
+5.90000000E-01,+0.00000000E+00,+7.17599951E-01,-6.96455533E-01,+1.00000000E+00,+1.35856682E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.45311960E-01,-5.34273048E-01,+1.00000000E+00,+1.47705375E+02
+6.00000000E-01,+0.00000000E+00,+7.14932440E-01,-6.99193539E-01,+1.00000000E+00,+1.35637663E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.48052923E-01,-5.29911539E-01,+1.00000000E+00,+1.48000522E+02
+6.10000000E-01,+0.00000000E+00,+7.12116454E-01,-7.02061362E-01,+1.00000000E+00,+1.35407378E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.50843058E-01,-5.25419918E-01,+1.00000000E+00,+1.48303484E+02
+6.20000000E-01,+0.00000000E+00,+7.09141124E-01,-7.05066569E-01,+1.00000000E+00,+1.35165078E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.53682523E-01,-5.20793768E-01,+1.00000000E+00,+1.48614489E+02
+6.30000000E-01,+0.00000000E+00,+7.05994496E-01,-7.08217319E-01,+1.00000000E+00,+1.34909944E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.56571480E-01,-5.16028391E-01,+1.00000000E+00,+1.48933781E+02
+6.40000000E-01,+0.00000000E+00,+7.02663395E-01,-7.11522420E-01,+1.00000000E+00,+1.34641081E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.59510092E-01,-5.11118775E-01,+1.00000000E+00,+1.49261620E+02
+6.50000000E-01,+0.00000000E+00,+6.99133258E-01,-7.14991390E-01,+1.00000000E+00,+1.34357506E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.62498526E-01,-5.06059575E-01,+1.00000000E+00,+1.49598285E+02
+6.60000000E-01,+0.00000000E+00,+6.95387957E-01,-7.18634531E-01,+1.00000000E+00,+1.34058140E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.65536951E-01,-5.00845071E-01,+1.00000000E+00,+1.49944075E+02
+6.70000000E-01,+0.00000000E+00,+6.91409578E-01,-7.22463006E-01,+1.00000000E+00,+1.33741793E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.68625542E-01,-4.95469139E-01,+1.00000000E+00,+1.50299309E+02
