theta,Mie,CI0,CI3,CI3+CSU,CI3*+CSU
29.4,5.05997017,5.09494118,5.1109517,5.57097569,5.06132064
29.5,5.06017975,5.08126447,5.11058224,5.57102499,5.06153986
29.6,5.06036694,5.06822795,5.11012723,5.57108099,5.06178309
29.7,5.06053169,5.05585202,5.1095875,5.57114364,5.06205031
29.8,5.06067396,5.04415583,5.10896412,5.57121289,5.06234145
29.9,5.06079382,5.03315717,5.10825835,5.57128867,5.06265639
30,5.06089137,5.02287241,5.10747169,5.5713709,5.06299497
30.1,5.06096679,5.0133165,5.10660584,5.57145948,5.06335699
30.2,5.06102031,5.00450288,5.10566272,5.57155431,5.06374217
30.3,5.06105224,4.99644347,5.10464446,5.57165528,5.06415022
30.4,5.06106295,4.9891486,5.1035534,5.57176226,5.06458078
30.5,5.06105286,4.98262702,5.10239208,5.57187513,5.06503346
30.6,5.06102246,4.97688583,5.10116322,5.57199373,5.06550782
30.7,5.0609723,4.97193049,5.09986976,5.57211792,5.06600337
30.8,5.06090299,4.96776478,5.0985148,5.57224753,5.06651958
30.9,5.06081521,4.96439082,5.09710163,5.57238239,5.0670559
31,5.06070967,4.96180904,5.09563371,5.57252233,5.06761171
31.1,5.06058716,4.96001821,5.09411467,5.57266715,5.06818636
31.2,5.06044852,4.95901538,5.09254827,5.57281667,5.06877918
31.3,5.06029464,4.958796,5.09093845,5.57297069,5.06938943
31.4,5.06012645,4.95935384,5.08928927,5.573129,5.07001637
31.5,5.05994494,4.96068106,5.08760492,5.57329139,5.07065921
31.6,5.05975114,4.96276824,5.08588971,5.57345765,5.07131714
31.7,5.05954613,4.9656044,5.08414805,5.57362756,5.0719893
31.8,5.05933102,4.96917706,5.08238447,5.57380088,5.07267483
31.9,5.05910698,4.97347227,5.08060357,5.57397741,5.07337282
32,5.05887518,4.97847465,5.07881001,5.5741569,5.07408236
32.1,5.05863684,4.98416746,5.07700855,5.57433912,5.0748025
32.2,5.05839322,4.99053266,5.07520398,5.57452385,5.07553228
32.3,5.05814559,4.99755094,5.07340112,5.57471086,5.07627072
32.4,5.05789525,5.00520184,5.07160483,5.5748999,5.07701684
32.5,5.05764351,5.01346375,5.06982,5.57509075,5.07776961
32.6,5.0573917,5.02231404,5.06805148,5.57528318,5.07852804
