theta,Mie,CI0,CI3,CI3+CSU,CI3*+CSU
124.2,2.57317514,8.84724597,2.455662,4.87617758,2.45309533
124.3,2.56625063,8.6467758,2.44644673,4.86765034,2.44451111
124.4,2.56891898,8.43247359,2.44779441,4.860587,2.44646883
124.5,2.58123447,8.20373051,2.45977799,4.85502049,2.45903475
124.6,2.60315309,7.95987776,2.48235463,4.85097584,2.48215987
124.7,2.63453352,7.70018116,2.51536679,4.8484698,2.51568117
124.8,2.67514074,7.42383569,2.55854662,4.84751068,2.55932616
124.9,2.72465208,7.12996003,2.61152339,4.84809816,2.61272045
125,2.78266525,6.81759153,2.67383365,4.85022318,2.67539789
125.1,2.84870814,6.48568241,2.74493329,4.85386795,2.74681272
125.2,2.92224964,6.13309808,2.82421116,4.859006,2.82635312
125.3,3.00271125,5.75861944,2.91100329,4.86560236,2.91335535
125.4,3.08947875,5.36095181,3.00460727,4.87361368,3.0071181
125.5,3.18191373,4.93874492,3.10429617,4.8829886,3.10691621
125.6,3.27936435,4.49063067,3.20933148,4.89366804,3.21201354
125.7,3.38117527,4.01528956,3.31897478,4.90558562,3.3216745
125.8,3.48669644,3.51156256,3.43249794,4.91866812,3.43517411
125.9,3.59529061,2.9786347,3.54919166,4.93283595,3.55180644
126,3.70633957,2.41633072,3.66837238,4.94800372,3.67089138
126.1,3.81924916,1.82558268,3.78938757,4.9640808,3.79177991
126.2,3.93345305,1.20915419,3.91161963,4.9809719,3.91385785
126.3,4.04841537,0.57272794,4.0344884,4.9985777,4.03654836
126.4,4.16363249,-0.073543095,4.15745253,5.01679543,4.15931326
126.5,4.27863379,-0.713018802,4.28000998,5.03551954,4.28165345
126.6,4.39298188,-1.32040437,4.40169758,5.05464225,4.40310853
126.7,4.50627214,-1.86043292,4.52209008,5.0740542,4.5232558
126.8,4.61813181,-2.28937699,4.64079873,5.09364503,4.6417088
126.9,4.72821877,-2.56174095,4.7574694,5.1133039,4.75811549
127,4.83622004,-2.64237891,4.87178061,5.1329201,4.87215629
127.1,4.9418501,-2.51918895,4.98344135,5.15238352,4.98354183
127.2,5.04484912,-2.2081231,5.0921888,5.17158514,5.09201077
127.3,5.14498112,-1.74665327,5.1977861,5.19041752,5.19732756
127.4,5.24203216,-1.18066715,5.30002012,5.20877519,5.2992802
127.5,5.3358085,-0.552961427,5.39869937,5.22655506,5.39767816
127.6,5.42613484,0.102611045,5.49365185,5.24365679,5.49235033
127.7,5.5128527,0.762098301,5.58472321,5.25998311,5.58314306
