kx/k0,Exact,CI0,CI3,CI3+CSU,CI3*+CSU
0.3,-2.88115129,-2.6020301,-2.897978336,-4.78110259,-2.90450421
0.31,-2.9025534,-2.6020301,-2.918560214,-4.75957656,-2.92560067
0.32,-2.92503574,-2.6020301,-2.940186219,-4.73739123,-2.94776736
0.33,-2.94864571,-2.6020301,-2.962902601,-4.71455094,-2.9710517
0.34,-2.97343437,-2.6020301,-2.986759171,-4.69106015,-2.99550475
0.35,-2.99945673,-2.6020301,-3.011809605,-4.66692341,-3.02118151
0.36,-3.02677215,-2.6020301,-3.038111796,-4.6421454,-3.04814134
0.37,-3.05544466,-2.6020301,-3.065728231,-4.61673091,-3.07644828
0.38,-3.08554349,-2.6020301,-3.094726429,-4.59068482,-3.10617154
0.39,-3.11714347,-2.6020301,-3.125179412,-4.56401211,-3.13738597
0.4,-3.15032567,-2.6020301,-3.157166247,-4.53671788,-3.17017261
0.41,-3.18517794,-2.6020301,-3.190772649,-4.50880732,-3.20461934
0.42,-3.22179565,-2.6020301,-3.226091658,-4.48028569,-3.2408215
0.43,-3.26028247,-2.6020301,-3.263224405,-4.45115839,-3.27888278
0.44,-3.30075125,-2.6020301,-3.302280976,-4.42143087,-3.318916
0.45,-3.34332503,-2.6020301,-3.343381389,-4.3911087,-3.3610442
0.46,-3.38813815,-2.6020301,-3.38665671,-4.3601975,-3.4054017
0.47,-3.43533759,-2.6020301,-3.432250316,-4.328703,-3.4521355
0.48,-3.48508444,-2.6020301,-3.480319341,-4.29663101,-3.50140664
0.49,-3.53755558,-2.6020301,-3.531036335,-4.2639874,-3.553392
0.5,-3.59294565,-2.6020301,-3.584591163,-4.23077814,-3.60828619
0.51,-3.65146928,-2.6020301,-3.641193201,-4.19700926,-3.66630385
0.52,-3.71336373,-2.6020301,-3.701073874,-4.16268685,-3.72768217
0.53,-3.77889186,-2.6020301,-3.764489598,-4.12781709,-3.79268401
