theta1,theta_2,Re(r_ibc1.tm),Im(r_ibc1.tm),Abs(r_ibc1.tm),Arg(r_ibc1.tm),Re(r_ibc1.te),Im(r_ibc1.te),Abs(r_ibc1.te),Arg(r_ibc1.te)
+4.05416019E+01,+0.00000000E+00,+8.41291764E-01,-4.83200072E-01,+9.70182530E-01,-5.21349357E-01,+9.36370908E-01,-2.95448584E-01,+9.81875931E-01,-3.05638511E-01
+4.12998728E+01,+0.00000000E+00,+8.38057693E-01,-4.87034000E-01,+9.69300168E-01,-5.26441005E-01,+9.37345064E-01,-2.91821004E-01,+9.81720565E-01,-3.01816043E-01
+4.20670648E+01,+0.00000000E+00,+8.34634187E-01,-4.90989433E-01,+9.68341288E-01,-5.31749121E-01,+9.38324143E-01,-2.88073348E-01,+9.81549006E-01,-2.97874008E-01
+4.28436430E+01,+0.00000000E+00,+8.31005438E-01,-4.95066910E-01,+9.67295861E-01,-5.37284573E-01,+9.39306400E-01,-2.84199022E-01,+9.81359056E-01,-2.93806177E-01
+4.36301089E+01,+0.00000000E+00,+8.27153812E-01,-4.99265760E-01,+9.66152021E-01,-5.43058562E-01,+9.40289760E-01,-2.80190640E-01,+9.81148117E-01,-2.89605580E-01
+4.44270040E+01,+0.00000000E+00,+8.23059580E-01,-5.03583651E-01,+9.64895625E-01,-5.49082471E-01,+9.41271739E-01,-2.76039877E-01,+9.80913095E-01,-2.85264368E-01
+4.52349153E+01,+0.00000000E+00,+8.18700603E-01,-5.08015982E-01,+9.63509686E-01,-5.55367623E-01,+9.42249342E-01,-2.71737279E-01,+9.80650280E-01,-2.80773632E-01
+4.60544804E+01,+0.00000000E+00,+8.14051947E-01,-5.12555043E-01,+9.61973620E-01,-5.61924920E-01,+9.43218928E-01,-2.67272023E-01,+9.80355180E-01,-2.76123184E-01
+4.68863941E+01,+0.00000000E+00,+8.09085436E-01,-5.17188877E-01,+9.60262244E-01,-5.68764283E-01,+9.44176029E-01,-2.62631601E-01,+9.80022311E-01,-2.71301261E-01
+4.77314156E+01,+0.00000000E+00,+8.03769100E-01,-5.21899667E-01,+9.58344421E-01,-5.75893815E-01,+9.45115108E-01,-2.57801407E-01,+9.79644901E-01,-2.66294141E-01
+4.85903779E+01,+0.00000000E+00,+7.98066517E-01,-5.26661487E-01,+9.56181200E-01,-5.83318529E-01,+9.46029222E-01,-2.52764180E-01,+9.79214491E-01,-2.61085621E-01
+4.94641979E+01,+0.00000000E+00,+7.91935982E-01,-5.31437061E-01,+9.53723204E-01,-5.91038414E-01,+9.46909554E-01,-2.47499238E-01,+9.78720377E-01,-2.55656307E-01
