theta_1,theta_2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+3.43981277E+00,+0.00000000E+00,+9.07278715E-01,-4.04113829E-01,+9.93208264E-01,-4.19032920E-01,+9.08246245E-01,-4.03757194E-01,+9.93947239E-01,-4.18309093E-01
+3.49721370E+00,+0.00000000E+00,+9.07256736E-01,-4.04102927E-01,+9.93183750E-01,-4.19031896E-01,+9.08256829E-01,-4.03734271E-01,+9.93947599E-01,-4.18283693E-01
+3.55461814E+00,+0.00000000E+00,+9.07234391E-01,-4.04091845E-01,+9.93158828E-01,-4.19030858E-01,+9.08267588E-01,-4.03710967E-01,+9.93947965E-01,-4.18257871E-01
+3.61202616E+00,+0.00000000E+00,+9.07211679E-01,-4.04080583E-01,+9.93133499E-01,-4.19029804E-01,+9.08278522E-01,-4.03687282E-01,+9.93948337E-01,-4.18231628E-01
+3.66943780E+00,+0.00000000E+00,+9.07188601E-01,-4.04069141E-01,+9.93107763E-01,-4.19028735E-01,+9.08289632E-01,-4.03663216E-01,+9.93948714E-01,-4.18204963E-01
+3.72685314E+00,+0.00000000E+00,+9.07165156E-01,-4.04057520E-01,+9.93081618E-01,-4.19027651E-01,+9.08300916E-01,-4.03638769E-01,+9.93949098E-01,-4.18177877E-01
+3.78427223E+00,+0.00000000E+00,+9.07141344E-01,-4.04045720E-01,+9.93055065E-01,-4.19026552E-01,+9.08312375E-01,-4.03613942E-01,+9.93949488E-01,-4.18150369E-01
+3.84169512E+00,+0.00000000E+00,+9.07117166E-01,-4.04033740E-01,+9.93028104E-01,-4.19025438E-01,+9.08324010E-01,-4.03588733E-01,+9.93949884E-01,-4.18122439E-01
+3.89912188E+00,+0.00000000E+00,+9.07092621E-01,-4.04021580E-01,+9.93000735E-01,-4.19024309E-01,+9.08335819E-01,-4.03563144E-01,+9.93950286E-01,-4.18094087E-01
+3.95655256E+00,+0.00000000E+00,+9.07067708E-01,-4.04009241E-01,+9.92972957E-01,-4.19023166E-01,+9.08347803E-01,-4.03537173E-01,+9.93950694E-01,-4.18065313E-01
+4.01398722E+00,+0.00000000E+00,+9.07042428E-01,-4.03996723E-01,+9.92944771E-01,-4.19022008E-01,+9.08359963E-01,-4.03510820E-01,+9.93951108E-01,-4.18036117E-01
+4.07142592E+00,+0.00000000E+00,+9.07016781E-01,-4.03984025E-01,+9.92916176E-01,-4.19020836E-01,+9.08372297E-01,-4.03484087E-01,+9.93951527E-01,-4.18006499E-01
+4.12886872E+00,+0.00000000E+00,+9.06990765E-01,-4.03971148E-01,+9.92887172E-01,-4.19019649E-01,+9.08384807E-01,-4.03456972E-01,+9.93951953E-01,-4.17976458E-01
+4.18631568E+00,+0.00000000E+00,+9.06964382E-01,-4.03958092E-01,+9.92857760E-01,-4.19018448E-01,+9.08397491E-01,-4.03429475E-01,+9.93952385E-01,-4.17945996E-01
+4.24376685E+00,+0.00000000E+00,+9.06937631E-01,-4.03944856E-01,+9.92827938E-01,-4.19017233E-01,+9.08410351E-01,-4.03401596E-01,+9.93952823E-01,-4.17915110E-01
+4.30122230E+00,+0.00000000E+00,+9.06910512E-01,-4.03931441E-01,+9.92797707E-01,-4.19016003E-01,+9.08423386E-01,-4.03373336E-01,+9.93953266E-01,-4.17883803E-01
+4.35868209E+00,+0.00000000E+00,+9.06883025E-01,-4.03917847E-01,+9.92767066E-01,-4.19014760E-01,+9.08436596E-01,-4.03344694E-01,+9.93953716E-01,-4.17852072E-01
+4.41614626E+00,+0.00000000E+00,+9.06855169E-01,-4.03904074E-01,+9.92736016E-01,-4.19013503E-01,+9.08449980E-01,-4.03315669E-01,+9.93954172E-01,-4.17819919E-01
+4.47361489E+00,+0.00000000E+00,+9.06826944E-01,-4.03890122E-01,+9.92704556E-01,-4.19012231E-01,+9.08463540E-01,-4.03286263E-01,+9.93954634E-01,-4.17787343E-01
+4.53108803E+00,+0.00000000E+00,+9.06798350E-01,-4.03875990E-01,+9.92672687E-01,-4.19010947E-01,+9.08477275E-01,-4.03256474E-01,+9.93955101E-01,-4.17754345E-01
+4.58856574E+00,+0.00000000E+00,+9.06769387E-01,-4.03861680E-01,+9.92640407E-01,-4.19009648E-01,+9.08491185E-01,-4.03226303E-01,+9.93955575E-01,-4.17720923E-01
+4.64604807E+00,+0.00000000E+00,+9.06740055E-01,-4.03847190E-01,+9.92607718E-01,-4.19008336E-01,+9.08505271E-01,-4.03195750E-01,+9.93956055E-01,-4.17687078E-01
