theta1,theta_2,Re(r_ibc01p.11),Im(r_ibc01p.11),Abs(r_ibc01p.11),Arg(r_ibc01p.11),Re(r_ibc01p.21),Im(r_ibc01p.21),Abs(r_ibc01p.21),Arg(r_ibc01p.21),Re(r_ibc01p.12),Im(r_ibc01p.12),Abs(r_ibc01p.12),Arg(r_ibc01p.12),Re(r_ibc01p.22),Im(r_ibc01p.22),Abs(r_ibc01p.22),Arg(r_ibc01p.22)
+2.17156173E+01,+0.00000000E+00,+8.70673404E-01,-3.65532909E-01,+9.44291525E-01,-3.97481613E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.29503086E-01,-4.01972750E-01,+1.01269841E+00,-4.08172188E-01
+2.23336827E+01,+0.00000000E+00,+8.69461287E-01,-3.65868690E-01,+9.43304207E-01,-3.98307233E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.29813430E-01,-3.99371495E-01,+1.01195386E+00,-4.05691102E-01
+2.29544994E+01,+0.00000000E+00,+8.68203249E-01,-3.66221708E-01,+9.42281922E-01,-3.99170376E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.30130828E-01,-3.96702087E-01,+1.01119528E+00,-4.03141647E-01
+2.35781785E+01,+0.00000000E+00,+8.66897905E-01,-3.66592804E-01,+9.41223811E-01,-4.00072658E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.30455260E-01,-3.93964557E-01,+1.01042321E+00,-4.00523584E-01
+2.42048348E+01,+0.00000000E+00,+8.65543782E-01,-3.66982873E-01,+9.40128964E-01,-4.01015803E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.30786710E-01,-3.91158925E-01,+1.00963816E+00,-3.97836659E-01
+2.48345875E+01,+0.00000000E+00,+8.64139315E-01,-3.67392865E-01,+9.38996418E-01,-4.02001647E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.31125179E-01,-3.88285201E-01,+1.00884067E+00,-3.95080600E-01
+2.54675601E+01,+0.00000000E+00,+8.62682838E-01,-3.67823790E-01,+9.37825154E-01,-4.03032153E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.31470674E-01,-3.85343383E-01,+1.00803132E+00,-3.92255117E-01
+2.61038811E+01,+0.00000000E+00,+8.61172575E-01,-3.68276723E-01,+9.36614088E-01,-4.04109417E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.31823218E-01,-3.82333454E-01,+1.00721069E+00,-3.89359899E-01
+2.67436840E+01,+0.00000000E+00,+8.59606637E-01,-3.68752806E-01,+9.35362070E-01,-4.05235680E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.32182848E-01,-3.79255383E-01,+1.00637941E+00,-3.86394612E-01
+2.73871075E+01,+0.00000000E+00,+8.57983005E-01,-3.69253259E-01,+9.34067881E-01,-4.06413341E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.32549614E-01,-3.76109119E-01,+1.00553809E+00,-3.83358902E-01
