s1,s2,Re(z_ex.11),Im(z_ex.11),Abs(z_ex.11),Arg(z_ex.11),Re(z_ex.21),Im(z_ex.21),Abs(z_ex.21),Arg(z_ex.21),Re(z_ex.12),Im(z_ex.12),Abs(z_ex.12),Arg(z_ex.12),Re(z_ex.22),Im(z_ex.22),Abs(z_ex.22),Arg(z_ex.22)
+0.00000000E+00,+1.57860882E-01,-2.60297502E-16,+9.20349115E-01,+9.20349115E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.46694840E-16,+9.16082690E-01,+9.16082690E-01,+1.57079633E+00
+0.00000000E+00,+1.73646970E-01,-5.30316706E-16,+9.19457474E-01,+9.19457474E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.44113935E-16,+9.14342796E-01,+9.14342796E-01,+1.57079633E+00
+0.00000000E+00,+1.89433058E-01,-1.88983055E-16,+9.18486948E-01,+9.18486948E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.93503605E-16,+9.12448802E-01,+9.12448802E-01,+1.57079633E+00
+0.00000000E+00,+2.05219147E-01,-3.64027448E-17,+9.17438097E-01,+9.17438097E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+5.76527218E-16,+9.10401754E-01,+9.10401754E-01,+1.57079633E+00
+0.00000000E+00,+2.21005235E-01,+2.07460239E-17,+9.16311520E-01,+9.16311520E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.32071230E-16,+9.08202776E-01,+9.08202776E-01,+1.57079633E+00
+0.00000000E+00,+2.36791323E-01,-1.03004677E-16,+9.15107860E-01,+9.15107860E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.11569146E-16,+9.05853075E-01,+9.05853075E-01,+1.57079633E+00
+0.00000000E+00,+2.52577411E-01,-6.43528874E-16,+9.13827802E-01,+9.13827802E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.56073790E-16,+9.03353929E-01,+9.03353929E-01,+1.57079633E+00
+0.00000000E+00,+2.68363499E-01,-1.12648486E-13,+9.12472070E-01,+9.12472070E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.65037795E-14,+9.00706696E-01,+9.00706696E-01,+1.57079633E+00
+0.00000000E+00,+2.84149588E-01,+3.81217974E-14,+9.11041427E-01,+9.11041427E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-6.18344325E-14,+8.97912805E-01,+8.97912805E-01,+1.57079633E+00
+0.00000000E+00,+2.99935676E-01,-4.02296196E-14,+9.09536675E-01,+9.09536675E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.40430807E-14,+8.94973757E-01,+8.94973757E-01,+1.57079633E+00
