s,n,Re(f_ibc6.tm),Im(f_ibc6.tm),Abs(f_ibc6.tm),Arg(f_ibc6.tm),Re(f_ibc6.te),Im(f_ibc6.te),Abs(f_ibc6.te),Arg(f_ibc6.te)
+0.00000000E+00,+5.50000000E+01,-1.32662414E-02,+1.14412623E-01,+1.15179171E-01,+1.68623170E+00,-8.19701004E-01,+3.84436299E-01,+9.05373406E-01,+2.70305462E+00
+0.00000000E+00,+5.60000000E+01,-1.31058892E-01,-3.37464752E-01,+3.62020569E-01,-1.94123091E+00,-3.23710850E-01,+4.67891158E-01,+5.68955930E-01,+2.17603203E+00
+0.00000000E+00,+5.70000000E+01,-5.36893944E-01,-4.98636979E-01,+7.32730471E-01,-2.39312200E+00,-1.16192473E-02,+1.07164548E-01,+1.07792613E-01,+1.67879878E+00
+0.00000000E+00,+5.80000000E+01,-8.93468891E-01,-3.08516177E-01,+9.45234834E-01,-2.80910967E+00,-1.22890796E-01,-3.28311816E-01,+3.50557836E-01,-1.92896300E+00
+0.00000000E+00,+5.90000000E+01,-9.97935548E-01,+4.53893197E-02,+9.98967241E-01,+3.09614076E+00,-5.06457498E-01,-4.99958299E-01,+7.11658273E-01,-2.36265217E+00
+0.00000000E+00,+6.00000000E+01,-8.60344957E-01,+3.46628781E-01,+9.27547819E-01,+2.75859298E+00,-8.62905839E-01,-3.43946729E-01,+9.28927252E-01,-2.76230129E+00
+0.00000000E+00,+6.10000000E+01,-6.06801085E-01,+4.88460365E-01,+7.78974380E-01,+2.46382487E+00,-9.99763710E-01,-1.53699074E-02,+9.99881848E-01,-3.12622032E+00
+0.00000000E+00,+6.20000000E+01,-3.59717211E-01,+4.79917430E-01,+5.99764296E-01,+2.21400284E+00,-9.06330765E-01,+2.91367996E-01,+9.52014057E-01,+2.83054698E+00
+0.00000000E+00,+6.30000000E+01,-1.81226826E-01,+3.85206001E-01,+4.25707442E-01,+2.01053989E+00,-6.82833848E-01,+4.65372737E-01,+8.26337611E-01,+2.54336953E+00
+0.00000000E+00,+6.40000000E+01,-7.77029176E-02,+2.67703519E-01,+2.78752431E-01,+1.85329113E+00,-4.40869289E-01,+4.96491248E-01,+6.63979886E-01,+2.29692507E+00
+0.00000000E+00,+6.50000000E+01,-2.82365179E-02,+1.65647870E-01,+1.68037251E-01,+1.73963460E+00,-2.48013088E-01,+4.31859463E-01,+4.98009124E-01,+2.09209776E+00
+0.00000000E+00,+6.60000000E+01,-8.64924084E-03,+9.25982261E-02,+9.30012948E-02,+1.66393221E+00,-1.22683845E-01,+3.28073954E-01,+3.50262537E-01,+1.92864771E+00
+0.00000000E+00,+6.70000000E+01,-2.22768851E-03,+4.71457942E-02,+4.71983952E-02,+1.61801226E+00,-5.36900558E-02,+2.25405044E-01,+2.31711147E-01,+1.80463266E+00
+0.00000000E+00,+6.80000000E+01,-4.83975222E-04,+2.19941126E-02,+2.19994369E-02,+1.59279754E+00,-2.09422706E-02,+1.43191103E-01,+1.44714445E-01,+1.71602070E+00
+0.00000000E+00,+6.90000000E+01,-8.94665970E-05,+9.45825527E-03,+9.45867840E-03,+1.58025515E+00,-7.38578556E-03,+8.56226356E-02,+8.59405932E-02,+1.65684306E+00
+0.00000000E+00,+7.00000000E+01,-1.42393088E-05,+3.77347400E-03,+3.77350086E-03,+1.57456984E+00,-2.42438167E-03,+4.91782883E-02,+4.92380104E-02,+1.62005425E+00
+0.00000000E+00,+7.10000000E+01,-1.97511836E-06,+1.40538766E-03,+1.40538904E-03,+1.57220172E+00,-7.85151074E-04,+2.80095450E-02,+2.80205473E-02,+1.59882054E+00
+0.00000000E+00,+7.20000000E+01,-2.41380289E-07,+4.91304621E-04,+4.91304680E-04,+1.57128763E+00,-2.86212270E-04,+1.69153880E-02,+1.69178092E-02,+1.58771494E+00
+0.00000000E+00,+7.30000000E+01,-2.62278236E-08,+1.61950063E-04,+1.61950065E-04,+1.57095828E+00,-1.82251012E-04,+1.34988072E-02,+1.35000375E-02,+1.58429677E+00
+0.00000000E+00,+7.40000000E+01,-2.55271306E-09,+5.05243808E-05,+5.05243809E-05,+1.57084685E+00,-6.73035506E-04,-2.59341961E-02,+2.59429279E-02,-1.59674217E+00
+0.00000000E+00,+7.50000000E+01,-2.23913029E-10,+1.49637238E-05,+1.49637238E-05,+1.57081129E+00,-1.23208167E-06,-1.10999106E-03,+1.10999175E-03,-1.57190632E+00
+0.00000000E+00,+7.60000000E+01,-1.77920871E-11,+4.21806677E-06,+4.21806677E-06,+1.57080054E+00,-3.33404703E-08,-1.82593727E-04,+1.82593730E-04,-1.57097892E+00
+0.00000000E+00,+7.70000000E+01,-1.28635268E-12,+1.13417491E-06,+1.13417491E-06,+1.57079746E+00,-1.32437842E-09,-3.63920104E-05,+3.63920104E-05,-1.57083272E+00
+0.00000000E+00,+7.80000000E+01,-8.49479849E-14,+2.91458401E-07,+2.91458401E-07,+1.57079662E+00,-5.90047547E-11,-7.68145521E-06,+7.68145521E-06,-1.57080401E+00
+0.00000000E+00,+7.90000000E+01,-5.14151403E-15,+7.17043824E-08,+7.17043824E-08,+1.57079640E+00,-2.69974587E-12,-1.64309031E-06,+1.64309031E-06,-1.57079797E+00
+0.00000000E+00,+8.00000000E+01,-2.86091943E-16,+1.69142895E-08,+1.69142895E-08,+1.57079634E+00,-1.22034990E-13,-3.49335043E-07,+3.49335043E-07,-1.57079668E+00
+0.00000000E+00,+8.10000000E+01,-1.46756826E-17,+3.83092889E-09,+3.83092889E-09,+1.57079633E+00,-5.34301775E-15,-7.30959284E-08,+7.30959284E-08,-1.57079640E+00
