n,Re(m_ex.11),Im(m_ex.11),Abs(m_ex.11),Arg(m_ex.11),Re(m_ex.21),Im(m_ex.21),Abs(m_ex.21),Arg(m_ex.21),Re(m_ex.12),Im(m_ex.12),Abs(m_ex.12),Arg(m_ex.12),Re(m_ex.22),Im(m_ex.22),Abs(m_ex.22),Arg(m_ex.22)
+5.50000000E+01,-1.72281127E-02,-1.30120347E-01,+1.31255905E-01,-1.70243207E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.70752228E-01,+4.94968809E-01,+7.55481455E-01,+2.42718499E+00
+5.60000000E+01,-3.19513398E-01,-4.66288094E-01,+5.65255162E-01,-2.17153887E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.13834197E-01,+3.17609781E-01,+3.37393239E-01,+1.91494271E+00
+5.70000000E+01,-7.39307770E-01,-4.39012290E-01,+8.59830082E-01,-2.60573311E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.88317334E-02,-1.35930494E-01,+1.37228763E-01,-1.70845949E+00
+5.80000000E+01,-9.80908242E-01,-1.36847589E-01,+9.90408119E-01,-3.00297625E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.07402403E-01,-4.61417561E-01,+5.54438818E-01,-2.15848483E+00
+5.90000000E+01,-9.52620572E-01,+2.12449095E-01,+9.76022834E-01,+2.92216795E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.12095108E-01,-4.52786556E-01,+8.43857280E-01,-2.57522823E+00
+6.00000000E+01,-7.39292746E-01,+4.39020480E-01,+8.59821345E-01,+2.60571600E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.66328577E-01,-1.80381978E-01,+9.83020131E-01,-2.95704921E+00
+6.10000000E+01,-4.76995173E-01,+4.99470498E-01,+6.90648372E-01,+2.33318154E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.74428476E-01,+1.57853162E-01,+9.87131438E-01,+2.98099218E+00
+6.20000000E+01,-2.60501047E-01,+4.38908021E-01,+5.10393031E-01,+2.10643810E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.97090107E-01,+4.02165971E-01,+8.92799029E-01,+2.67431752E+00
+6.30000000E+01,-1.21105047E-01,+3.26249314E-01,+3.48001505E-01,+1.92623484E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.51495912E-01,+4.97341101E-01,+7.42627707E-01,+2.40778188E+00
+6.40000000E+01,-4.78368114E-02,+2.13420830E-01,+2.18716281E-01,+1.79129503E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.29913968E-01,+4.70181605E-01,+5.74381379E-01,+2.18264456E+00
+6.50000000E+01,-1.59693894E-02,+1.25356962E-01,+1.26370049E-01,+1.69750516E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.72652619E-01,+3.77946679E-01,+4.15514885E-01,+1.99930512E+00
+6.60000000E+01,-4.48544820E-03,+6.68231169E-02,+6.69734888E-02,+1.63781998E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.95514140E-02,+2.70597462E-01,+2.82048602E-01,+1.85672506E+00
