n,Re(m_ibc0.11),Im(m_ibc0.11),Abs(m_ibc0.11),Arg(m_ibc0.11),Re(m_ibc0.21),Im(m_ibc0.21),Abs(m_ibc0.21),Arg(m_ibc0.21),Re(m_ibc0.12),Im(m_ibc0.12),Abs(m_ibc0.12),Arg(m_ibc0.12),Re(m_ibc0.22),Im(m_ibc0.22),Abs(m_ibc0.22),Arg(m_ibc0.22)
+1.60000000E+01,-8.66107192E-01,-3.40537111E-01,+9.30648802E-01,-2.76697829E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.11022262E-01,+3.14159704E-01,+3.33200033E-01,+1.91049185E+00
+1.70000000E+01,-3.64872217E-01,+4.81394311E-01,+6.04046536E-01,+2.21936526E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.72657628E-01,-4.69243374E-01,+8.20157075E-01,-2.53248183E+00
+1.80000000E+01,-3.48704694E-01,-4.76560311E-01,+5.90512230E-01,-2.20248973E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.08525178E-01,+4.88080204E-01,+7.80080239E-01,+2.46559038E+00
+1.90000000E+01,-8.98346903E-01,+3.02191570E-01,+9.47811639E-01,+2.81709697E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.33457837E-01,-3.40068880E-01,+3.65318816E-01,-1.94477159E+00
+2.00000000E+01,-2.95755660E-07,-5.43834141E-04,+5.43834221E-04,-1.57134016E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.96920334E-01,+5.54092239E-02,+9.98458979E-01,+3.08606939E+00
+2.10000000E+01,-8.88623516E-01,-3.14597779E-01,+9.42668296E-01,-2.80133376E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.60755200E-02,+2.65118908E-01,+2.75817911E-01,+1.85023684E+00
+2.20000000E+01,-4.13061884E-01,+4.92383757E-01,+6.42698906E-01,+2.26881224E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.51947784E-01,-4.76352675E-01,+8.07432836E-01,-2.51058397E+00
+2.30000000E+01,-2.28133427E-01,-4.19629082E-01,+4.77633151E-01,-2.06875505E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.07418438E-01,+4.54947900E-01,+8.41081707E-01,+2.57007625E+00
+2.40000000E+01,-9.88815565E-01,+1.05163411E-01,+9.94392058E-01,+3.03563803E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.43579127E-02,-1.82146772E-01,+1.85358875E-01,-1.75723338E+00
+2.50000000E+01,-8.92371794E-02,+2.85085786E-01,+2.98725927E-01,+1.87415367E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.54248249E-01,-2.08946233E-01,+9.76856309E-01,-2.92603052E+00
+2.60000000E+01,-5.55174753E-01,-4.96946422E-01,+7.45100499E-01,-2.41148184E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.51477491E-01,+4.77431738E-01,+5.92855371E-01,+2.20539624E+00
+2.70000000E+01,-8.50963652E-01,+3.56124297E-01,+9.22476912E-01,+2.74524441E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.29843706E-01,-4.20732191E-01,+4.79420177E-01,-2.07079022E+00
+2.80000000E+01,-4.31346894E-03,+6.55352037E-02,+6.56770047E-02,+1.63652064E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.97839990E-01,+4.64256880E-02,+9.98919411E-01,+3.09510000E+00
