s,n,Re(f_ex.11),Im(f_ex.11),Abs(f_ex.11),Arg(f_ex.11),Re(f_ex.21),Im(f_ex.21),Abs(f_ex.21),Arg(f_ex.21),Re(f_ex.12),Im(f_ex.12),Abs(f_ex.12),Arg(f_ex.12),Re(f_ex.22),Im(f_ex.22),Abs(f_ex.22),Arg(f_ex.22)
+0.00000000E+00,+4.10000000E+01,-1.39384232E-01,+3.46347034E-01,+3.73341977E-01,+1.95340520E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.73336445E-01,-1.61098138E-01,+9.86578149E-01,-2.97756837E+00
+0.00000000E+00,+4.20000000E+01,-2.00483296E-01,-4.00362016E-01,+4.47753611E-01,-2.03504778E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.87070041E-01,+4.92360445E-01,+7.66204960E-01,+2.44371071E+00
+0.00000000E+00,+4.30000000E+01,-9.22993185E-01,-2.66602261E-01,+9.60725343E-01,-2.86040067E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.99027620E-04,+3.15916059E-02,+3.16073982E-02,+1.60240899E+00
+0.00000000E+00,+4.40000000E+01,-7.51191332E-01,+4.32322697E-01,+8.66712947E-01,+2.61937061E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.03330161E-01,-4.99988910E-01,+7.09457653E-01,-2.35952468E+00
+0.00000000E+00,+4.50000000E+01,-6.99001347E-02,+2.54978638E-01,+2.64386336E-01,+1.83836389E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.99713434E-01,+1.69258288E-02,+9.99856707E-01,+3.12466359E+00
+0.00000000E+00,+4.60000000E+01,-2.21922040E-01,-4.15538985E-01,+4.71086022E-01,-2.06131790E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.91229747E-01,+4.99923077E-01,+7.00877840E-01,+2.34742379E+00
+0.00000000E+00,+4.70000000E+01,-8.85202013E-01,-3.18777994E-01,+9.40851749E-01,-2.79593180E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.66122640E-04,+2.15848412E-02,+2.15898735E-02,+1.59238788E+00
+0.00000000E+00,+4.80000000E+01,-8.72676408E-01,+3.33335109E-01,+9.34171509E-01,+2.77672644E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.25635258E-01,-4.94438960E-01,+6.52407280E-01,-2.28155282E+00
+0.00000000E+00,+4.90000000E+01,-2.47030752E-01,+4.31284778E-01,+4.97021883E-01,+2.09095967E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.77399868E-01,-1.48624918E-01,+9.88635356E-01,-2.99068715E+00
+0.00000000E+00,+5.00000000E+01,-1.94994950E-02,-1.38272429E-01,+1.39640592E-01,-1.71089477E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.40551357E-01,+4.38332117E-01,+8.60552937E-01,+2.60715056E+00
