s,n,Re(f_ibc0.11),Im(f_ibc0.11),Abs(f_ibc0.11),Arg(f_ibc0.11),Re(f_ibc0.21),Im(f_ibc0.21),Abs(f_ibc0.21),Arg(f_ibc0.21),Re(f_ibc0.12),Im(f_ibc0.12),Abs(f_ibc0.12),Arg(f_ibc0.12),Re(f_ibc0.22),Im(f_ibc0.22),Abs(f_ibc0.22),Arg(f_ibc0.22)
+0.00000000E+00,+7.60000000E+01,-8.65180335E-12,+2.94139480E-06,+2.94139480E-06,+1.57079927E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.15107487E-09,+7.17709889E-05,+7.17709891E-05,+1.57086810E+00
+0.00000000E+00,+7.70000000E+01,-5.80138611E-13,+7.61668308E-07,+7.61668308E-07,+1.57079709E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.31887749E-10,+2.30626917E-05,+2.30626917E-05,+1.57081939E+00
+0.00000000E+00,+7.80000000E+01,-3.52839062E-14,+1.87840108E-07,+1.87840108E-07,+1.57079651E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.09630912E-11,+7.13884383E-06,+7.13884383E-06,+1.57080347E+00
+0.00000000E+00,+7.90000000E+01,-1.95096888E-15,+4.41697738E-08,+4.41697738E-08,+1.57079637E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.57447707E-12,+2.13880272E-06,+2.13880272E-06,+1.57079847E+00
+0.00000000E+00,+8.00000000E+01,-9.82445308E-17,+9.91183847E-09,+9.91183847E-09,+1.57079634E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.88986908E-13,+6.23688151E-07,+6.23688151E-07,+1.57079695E+00
+0.00000000E+00,+8.10000000E+01,-4.51070691E-18,+2.12384307E-09,+2.12384307E-09,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.17897912E-14,+1.78296919E-07,+1.78296919E-07,+1.57079651E+00
+0.00000000E+00,+8.20000000E+01,-1.88912797E-19,+4.34641689E-10,+4.34641689E-10,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.54863268E-15,+5.04839863E-08,+5.04839863E-08,+1.57079638E+00
+0.00000000E+00,+8.30000000E+01,-7.21457247E-21,+8.49393647E-11,+8.49393647E-11,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.07158569E-16,+1.43930052E-08,+1.43930052E-08,+1.57079634E+00
+0.00000000E+00,+8.40000000E+01,-2.50884008E-22,+1.58402068E-11,+1.58402068E-11,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.81598411E-17,+4.26143995E-09,+4.26143995E-09,+1.57079633E+00
+0.00000000E+00,+8.50000000E+01,-8.01597379E-24,+2.81506107E-12,+2.81506107E-12,+1.57079633E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.98983516E-18,+1.40991584E-09,+1.40991584E-09,+1.57079633E+00
