s1,s2,Re(z_ex.11),Im(z_ex.11),Abs(z_ex.11),Arg(z_ex.11),Re(z_ex.21),Im(z_ex.21),Abs(z_ex.21),Arg(z_ex.21),Re(z_ex.12),Im(z_ex.12),Abs(z_ex.12),Arg(z_ex.12),Re(z_ex.22),Im(z_ex.22),Abs(z_ex.22),Arg(z_ex.22)
+1.29445923E+00,+0.00000000E+00,-7.06238839E-17,+5.11806969E-01,+5.11806969E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.24711101E-14,+7.21414244E-01,+7.21414244E-01,+1.57079633E+00
+1.31024532E+00,+0.00000000E+00,+1.42896883E-14,+5.04198515E-01,+5.04198515E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.08547886E-14,+7.17560657E-01,+7.17560657E-01,+1.57079633E+00
+1.32603141E+00,+0.00000000E+00,+1.87847485E-14,+4.96583474E-01,+4.96583474E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17990740E-15,+7.13707564E-01,+7.13707564E-01,+1.57079633E+00
+1.34181750E+00,+0.00000000E+00,-1.25351802E-16,+4.88963354E-01,+4.88963354E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.38847303E-14,+7.09855792E-01,+7.09855792E-01,+1.57079633E+00
+1.35760359E+00,+0.00000000E+00,+3.36867431E-14,+4.81339627E-01,+4.81339627E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+6.29069470E-15,+7.06006141E-01,+7.06006141E-01,+1.57079633E+00
+1.37338967E+00,+0.00000000E+00,-9.26016285E-15,+4.73713728E-01,+4.73713728E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.64380858E-15,+7.02159397E-01,+7.02159397E-01,+1.57079633E+00
+1.38917576E+00,+0.00000000E+00,-1.64765424E-14,+4.66087052E-01,+4.66087052E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+4.22671253E-15,+6.98316319E-01,+6.98316319E-01,+1.57079633E+00
+1.40496185E+00,+0.00000000E+00,+5.92613976E-15,+4.58460962E-01,+4.58460962E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.60759786E-15,+6.94477651E-01,+6.94477651E-01,+1.57079633E+00
+1.42074794E+00,+0.00000000E+00,-7.68559245E-15,+4.50836782E-01,+4.50836782E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-3.48670506E-15,+6.90644114E-01,+6.90644114E-01,+1.57079633E+00
+1.43653403E+00,+0.00000000E+00,+1.14990929E-14,+4.43215798E-01,+4.43215798E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-6.54466045E-16,+6.86816407E-01,+6.86816407E-01,+1.57079633E+00
+1.45232011E+00,+0.00000000E+00,+3.55832629E-15,+4.35599262E-01,+4.35599262E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.01952122E-15,+6.82995213E-01,+6.82995213E-01,+1.57079633E+00
+1.46810620E+00,+0.00000000E+00,-1.68035473E-14,+4.27988389E-01,+4.27988389E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-7.54895663E-15,+6.79181193E-01,+6.79181193E-01,+1.57079633E+00
+1.48389229E+00,+0.00000000E+00,-7.22528947E-15,+4.20384360E-01,+4.20384360E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.32461829E-15,+6.75374986E-01,+6.75374986E-01,+1.57079633E+00
+1.49967838E+00,+0.00000000E+00,+1.43860196E-14,+4.12788320E-01,+4.12788320E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-8.66660371E-15,+6.71577215E-01,+6.71577215E-01,+1.57079633E+00
+1.51546447E+00,+0.00000000E+00,-1.49578918E-14,+4.05201377E-01,+4.05201377E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.52166139E-15,+6.67788483E-01,+6.67788483E-01,+1.57079633E+00
