              s1;              s2; Re(z_ibc3_reduc; Im(z_ibc3_reduc; Abs(z_ibc3_redu; Arg(z_ibc3_redu; Re(z_ibc3_reduc; Im(z_ibc3_reduc; Abs(z_ibc3_redu; Arg(z_ibc3_redu; 
  +9.00000000E-01; +0.00000000E+00; -0.00000000E+00; +4.36511848E-02; +4.36511848E-02; +1.57079633E+00; -0.00000000E+00; -1.14421773E-02; +1.14421773E-02; -1.57079633E+00; 
  +9.10000000E-01; +0.00000000E+00; -0.00000000E+00; +1.20573132E-02; +1.20573132E-02; +1.57079633E+00; -0.00000000E+00; -1.49945373E-02; +1.49945373E-02; -1.57079633E+00; 
  +9.20000000E-01; +0.00000000E+00; -0.00000000E+00; +1.95459612E-02; +1.95459612E-02; +1.57079633E+00; -0.00000000E+00; -1.41815115E-02; +1.41815115E-02; -1.57079633E+00; 
  +9.30000000E-01; +0.00000000E+00; -0.00000000E+00; +2.20728057E-02; +2.20728057E-02; +1.57079633E+00; -0.00000000E+00; -1.39230049E-02; +1.39230049E-02; -1.57079633E+00; 
  +9.40000000E-01; +0.00000000E+00; -0.00000000E+00; +2.37104837E-02; +2.37104837E-02; +1.57079633E+00; -0.00000000E+00; -1.37640899E-02; +1.37640899E-02; -1.57079633E+00; 
  +9.50000000E-01; +0.00000000E+00; -0.00000000E+00; +2.50368633E-02; +2.50368633E-02; +1.57079633E+00; -0.00000000E+00; -1.36402171E-02; +1.36402171E-02; -1.57079633E+00; 
  +9.60000000E-01; +0.00000000E+00; -0.00000000E+00; +2.62215121E-02; +2.62215121E-02; +1.57079633E+00; -0.00000000E+00; -1.35324455E-02; +1.35324455E-02; -1.57079633E+00; 
  +9.70000000E-01; +0.00000000E+00; -0.00000000E+00; +2.73321629E-02; +2.73321629E-02; +1.57079633E+00; -0.00000000E+00; -1.34332095E-02; +1.34332095E-02; -1.57079633E+00; 
  +9.80000000E-01; +0.00000000E+00; -0.00000000E+00; +2.84011727E-02; +2.84011727E-02; +1.57079633E+00; -0.00000000E+00; -1.33388950E-02; +1.33388950E-02; -1.57079633E+00; 
  +9.90000000E-01; +0.00000000E+00; -0.00000000E+00; +2.94459441E-02; +2.94459441E-02; +1.57079633E+00; -0.00000000E+00; -1.32475584E-02; +1.32475584E-02; -1.57079633E+00; 
  +1.00000000E+00; +0.00000000E+00; -0.00000000E+00; +3.04766646E-02; +3.04766646E-02; +1.57079633E+00; -0.00000000E+00; -1.31580621E-02; +1.31580621E-02; -1.57079633E+00; 
  +1.01000000E+00; +0.00000000E+00; -0.00000000E+00; +3.14996901E-02; +3.14996901E-02; +1.57079633E+00; -0.00000000E+00; -1.30696966E-02; +1.30696966E-02; -1.57079633E+00; 
  +1.02000000E+00; +0.00000000E+00; -0.00000000E+00; +3.25191879E-02; +3.25191879E-02; +1.57079633E+00; -0.00000000E+00; -1.29819966E-02; +1.29819966E-02; -1.57079633E+00; 
  +1.03000000E+00; +0.00000000E+00; -0.00000000E+00; +3.35380005E-02; +3.35380005E-02; +1.57079633E+00; -0.00000000E+00; -1.28946450E-02; +1.28946450E-02; -1.57079633E+00; 
  +1.04000000E+00; +0.00000000E+00; -0.00000000E+00; +3.45581309E-02; +3.45581309E-02; +1.57079633E+00; -0.00000000E+00; -1.28074184E-02; +1.28074184E-02; -1.57079633E+00; 
  +1.05000000E+00; +0.00000000E+00; -0.00000000E+00; +3.55810285E-02; +3.55810285E-02; +1.57079633E+00; -0.00000000E+00; -1.27201553E-02; +1.27201553E-02; -1.57079633E+00; 
  +1.06000000E+00; +0.00000000E+00; -0.00000000E+00; +3.66077660E-02; +3.66077660E-02; +1.57079633E+00; -0.00000000E+00; -1.26327362E-02; +1.26327362E-02; -1.57079633E+00; 
  +1.07000000E+00; +0.00000000E+00; -0.00000000E+00; +3.76391522E-02; +3.76391522E-02; +1.57079633E+00; -0.00000000E+00; -1.25450711E-02; +1.25450711E-02; -1.57079633E+00; 
  +1.08000000E+00; +0.00000000E+00; -0.00000000E+00; +3.86758069E-02; +3.86758069E-02; +1.57079633E+00; -0.00000000E+00; -1.24570911E-02; +1.24570911E-02; -1.57079633E+00; 
  +1.09000000E+00; +0.00000000E+00; -0.00000000E+00; +3.97182114E-02; +3.97182114E-02; +1.57079633E+00; -0.00000000E+00; -1.23687430E-02; +1.23687430E-02; -1.57079633E+00; 
  +1.10000000E+00; +0.00000000E+00; -0.00000000E+00; +4.07667435E-02; +4.07667435E-02; +1.57079633E+00; -0.00000000E+00; -1.22799847E-02; +1.22799847E-02; -1.57079633E+00; 
  +1.11000000E+00; +0.00000000E+00; -0.00000000E+00; +4.18217030E-02; +4.18217030E-02; +1.57079633E+00; -0.00000000E+00; -1.21907833E-02; +1.21907833E-02; -1.57079633E+00; 
  +1.12000000E+00; +0.00000000E+00; -0.00000000E+00; +4.28833291E-02; +4.28833291E-02; +1.57079633E+00; -0.00000000E+00; -1.21011123E-02; +1.21011123E-02; -1.57079633E+00; 
  +1.13000000E+00; +0.00000000E+00; -0.00000000E+00; +4.39518141E-02; +4.39518141E-02; +1.57079633E+00; -0.00000000E+00; -1.20109507E-02; +1.20109507E-02; -1.57079633E+00; 
  +1.14000000E+00; +0.00000000E+00; -0.00000000E+00; +4.50273133E-02; +4.50273133E-02; +1.57079633E+00; -0.00000000E+00; -1.19202814E-02; +1.19202814E-02; -1.57079633E+00; 
