s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+9.40000000E-01,+0.00000000E+00,+9.31236679E-01,-7.77070657E-02,+9.34473188E-01,-8.32521499E-02,+9.87727144E-01,-1.42199204E-01,+9.97910580E-01,-1.42983643E-01
+9.50000000E-01,+0.00000000E+00,+9.35951438E-01,-7.02639970E-02,+9.38585171E-01,-7.49317109E-02,+9.89553425E-01,-1.30238798E-01,+9.98087233E-01,-1.30861568E-01
+9.60000000E-01,+0.00000000E+00,+9.41531586E-01,-6.22743190E-02,+9.43588797E-01,-6.60453107E-02,+9.91419002E-01,-1.16875874E-01,+9.98284332E-01,-1.17345863E-01
+9.70000000E-01,+0.00000000E+00,+9.48303220E-01,-5.34775514E-02,+9.49809900E-01,-5.63332162E-02,+9.93332082E-01,-1.01555685E-01,+9.98509981E-01,-1.01883401E-01
+9.80000000E-01,+0.00000000E+00,+9.56887010E-01,-4.33529183E-02,+9.57868585E-01,-4.52752431E-02,+9.95308564E-01,-8.32000307E-02,+9.98779948E-01,-8.33983059E-02
+9.90000000E-01,+0.00000000E+00,+9.68844849E-01,-3.05227794E-02,+9.69325529E-01,-3.14938840E-02,+9.97389233E-01,-5.90346762E-02,+9.99134814E-01,-5.91202299E-02
+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00
+1.01000000E+00,+0.00000000E+00,+1.03033854E+00,-3.36220683E-02,+1.03088697E+00,-3.26204841E-02,+1.06121680E+00,-9.23476102E-04,+1.06121721E+00,-8.70204717E-04
+1.02000000E+00,+0.00000000E+00,+1.04197978E+00,-4.92079657E-02,+1.04314107E+00,-4.71903902E-02,+1.08788527E+00,-1.34237773E-03,+1.08788610E+00,-1.23393255E-03
+1.03000000E+00,+0.00000000E+00,+1.05022242E+00,-6.21508049E-02,+1.05205981E+00,-5.91097683E-02,+1.10895935E+00,-1.68036427E-03,+1.10896062E+00,-1.51526112E-03
+1.04000000E+00,+0.00000000E+00,+1.05655192E+00,-7.38581743E-02,+1.05913030E+00,-6.97913818E-02,+1.12717562E+00,-1.97740124E-03,+1.12717736E+00,-1.75429558E-03
+1.05000000E+00,+0.00000000E+00,+1.06154929E+00,-8.48607792E-02,+1.06493580E+00,-7.97708620E-02,+1.14359055E+00,-2.24890111E-03,+1.14359277E+00,-1.96652395E-03
+1.06000000E+00,+0.00000000E+00,+1.06551412E+00,-9.54232310E-02,+1.06977845E+00,-8.93177697E-02,+1.15874427E+00,-2.50273689E-03,+1.15874697E+00,-2.15986656E-03
+1.07000000E+00,+0.00000000E+00,+1.06862462E+00,-1.05697892E-01,+1.07383919E+00,-9.85895431E-02,+1.17295663E+00,-2.74356823E-03,+1.17295984E+00,-2.33901506E-03
+1.08000000E+00,+0.00000000E+00,+1.07099665E+00,-1.15780550E-01,+1.07723672E+00,-1.07687221E-01,+1.18643543E+00,-2.97442078E-03,+1.18643916E+00,-2.50701763E-03
+1.09000000E+00,+0.00000000E+00,+1.07271021E+00,-1.25735000E-01,+1.08005393E+00,-1.16680055E-01,+1.19932458E+00,-3.19738954E-03,+1.19932884E+00,-2.66598552E-03
+1.10000000E+00,+0.00000000E+00,+1.07382302E+00,-1.35605415E-01,+1.08235147E+00,-1.25617893E-01,+1.21172855E+00,-3.41399553E-03,+1.21173336E+00,-2.81745156E-03
+1.11000000E+00,+0.00000000E+00,+1.07437811E+00,-1.45423158E-01,+1.08417536E+00,-1.34538006E-01,+1.22372598E+00,-3.62538402E-03,+1.22373135E+00,-2.96256962E-03
+1.12000000E+00,+0.00000000E+00,+1.07440838E+00,-1.55210819E-01,+1.08556150E+00,-1.43469128E-01,+1.23537781E+00,-3.83244281E-03,+1.23538376E+00,-3.10223357E-03
+1.13000000E+00,+0.00000000E+00,+1.07393955E+00,-1.64984732E-01,+1.08653859E+00,-1.52433980E-01,+1.24673236E+00,-4.03587653E-03,+1.24673889E+00,-3.23715223E-03
+1.14000000E+00,+0.00000000E+00,+1.07299206E+00,-1.74756621E-01,+1.08713009E+00,-1.61450916E-01,+1.25782870E+00,-4.23625563E-03,+1.25783584E+00,-3.36789866E-03
+1.15000000E+00,+0.00000000E+00,+1.07158239E+00,-1.84534712E-01,+1.08735545E+00,-1.70535037E-01,+1.26869897E+00,-4.43404965E-03,+1.26870671E+00,-3.49494381E-03
+1.16000000E+00,+0.00000000E+00,+1.06972405E+00,-1.94324515E-01,+1.08723114E+00,-1.79698967E-01,+1.27936992E+00,-4.62965071E-03,+1.27937830E+00,-3.61868011E-03
+1.17000000E+00,+0.00000000E+00,+1.06742822E+00,-2.04129377E-01,+1.08677127E+00,-1.88953413E-01,+1.28986418E+00,-4.82339033E-03,+1.28987319E+00,-3.73943857E-03
+1.18000000E+00,+0.00000000E+00,+1.06470428E+00,-2.13950899E-01,+1.08598812E+00,-1.98307567E-01,+1.30020099E+00,-5.01555193E-03,+1.30021066E+00,-3.85750133E-03
+1.19000000E+00,+0.00000000E+00,+1.06156023E+00,-2.23789241E-01,+1.08489251E+00,-2.07769415E-01,+1.31039696E+00,-5.20638015E-03,+1.31040730E+00,-3.97311114E-03
+1.20000000E+00,+0.00000000E+00,+1.05800296E+00,-2.33643362E-01,+1.08349411E+00,-2.17345967E-01,+1.32046648E+00,-5.39608800E-03,+1.32047750E+00,-4.08647857E-03
+1.21000000E+00,+0.00000000E+00,+1.05403849E+00,-2.43511201E-01,+1.08180167E+00,-2.27043435E-01,+1.33042215E+00,-5.58486245E-03,+1.33043387E+00,-4.19778763E-03
+1.22000000E+00,+0.00000000E+00,+1.04967221E+00,-2.53389828E-01,+1.07982321E+00,-2.36867372E-01,+1.34027506E+00,-5.77286873E-03,+1.34028749E+00,-4.30720022E-03
+1.23000000E+00,+0.00000000E+00,+1.04490898E+00,-2.63275564E-01,+1.07756614E+00,-2.46822785E-01,+1.35003504E+00,-5.96025384E-03,+1.35004819E+00,-4.41485958E-03
+1.24000000E+00,+0.00000000E+00,+1.03975328E+00,-2.73164078E-01,+1.07503744E+00,-2.56914224E-01,+1.35971083E+00,-6.14714935E-03,+1.35972472E+00,-4.52089322E-03
+1.25000000E+00,+0.00000000E+00,+1.03420933E+00,-2.83050467E-01,+1.07224368E+00,-2.67145852E-01,+1.36931027E+00,-6.33367365E-03,+1.36932492E+00,-4.62541514E-03
+1.26000000E+00,+0.00000000E+00,+1.02828117E+00,-2.92929334E-01,+1.06919117E+00,-2.77521506E-01,+1.37884042E+00,-6.51993381E-03,+1.37885584E+00,-4.72852776E-03
