s1,s2,Re(r_ibc01_2.tm),Im(r_ibc01_2.tm),Abs(r_ibc01_2.tm),Arg(r_ibc01_2.tm),Re(r_ibc01_2.te),Im(r_ibc01_2.te),Abs(r_ibc01_2.te),Arg(r_ibc01_2.te)
+9.10000000E-01,+0.00000000E+00,+1.00494810E+00,+8.44730663E-01,+1.31281780E+00,+6.98994765E-01,+1.01202435E+00,+1.55172680E-01,+1.02385147E+00,+1.52144091E-01
+9.20000000E-01,+0.00000000E+00,+9.91861355E-01,+8.93486615E-01,+1.33495591E+00,+7.33266881E-01,+1.01284931E+00,+1.45875868E-01,+1.02330029E+00,+1.43041605E-01
+9.30000000E-01,+0.00000000E+00,+9.72333398E-01,+9.52007335E-01,+1.36079029E+00,+7.74835945E-01,+1.01347838E+00,+1.36020215E-01,+1.02256537E+00,+1.33414029E-01
+9.40000000E-01,+0.00000000E+00,+9.42597170E-01,+1.02347916E+00,+1.39140182E+00,+8.26513763E-01,+1.01387625E+00,+1.25487974E-01,+1.02161259E+00,+1.23144231E-01
+9.50000000E-01,+0.00000000E+00,+8.95795499E-01,+1.11245338E+00,+1.42828642E+00,+8.92866488E-01,+1.01399436E+00,+1.14108607E-01,+1.02039469E+00,+1.12062309E-01
+9.60000000E-01,+0.00000000E+00,+8.18414992E-01,+1.22523841E+00,+1.47343553E+00,+9.81896197E-01,+1.01376145E+00,+1.01618825E-01,+1.01884183E+00,+9.99056624E-02
+9.70000000E-01,+0.00000000E+00,+6.80987546E-01,+1.36889646E+00,+1.52892823E+00,+1.10917323E+00,+1.01306272E+00,+8.75728624E-02,+1.01684073E+00,+8.62293165E-02
+9.80000000E-01,+0.00000000E+00,+4.10757873E-01,+1.53919567E+00,+1.59306163E+00,+1.31000852E+00,+1.01168348E+00,+7.10967065E-02,+1.01417859E+00,+7.01602947E-02
+9.90000000E-01,+0.00000000E+00,-1.89499309E-01,+1.61765095E+00,+1.62871256E+00,+1.68740959E+00,+1.00909210E+00,+4.99218084E-02,+1.01032621E+00,+4.94317028E-02
+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00
