s1,s2,Re(z_ibc01_2.tm),Im(z_ibc01_2.tm),Abs(z_ibc01_2.tm),Arg(z_ibc01_2.tm),Re(z_ibc01_2.te),Im(z_ibc01_2.te),Abs(z_ibc01_2.te),Arg(z_ibc01_2.te)
+7.00000000E-01,+0.00000000E+00,+4.59232721E-02,+1.67049357E-01,+1.73246745E-01,+1.30251527E+00,+1.11410534E-02,+2.02873952E-01,+2.03179634E-01,+1.51593530E+00
+7.10000000E-01,+0.00000000E+00,+4.66509561E-02,+1.66254255E-01,+1.72675386E-01,+1.29723126E+00,+1.18687374E-02,+2.02078849E-01,+2.02427094E-01,+1.51213052E+00
+7.20000000E-01,+0.00000000E+00,+4.73889618E-02,+1.65447874E-01,+1.72100879E-01,+1.29183662E+00,+1.26067432E-02,+2.01272469E-01,+2.01666895E-01,+1.50824283E+00
+7.30000000E-01,+0.00000000E+00,+4.81372893E-02,+1.64630215E-01,+1.71523486E-01,+1.28632979E+00,+1.33550707E-02,+2.00454810E-01,+2.00899200E-01,+1.50427079E+00
+7.40000000E-01,+0.00000000E+00,+4.88959386E-02,+1.63801278E-01,+1.70943475E-01,+1.28070920E+00,+1.41137199E-02,+1.99625873E-01,+2.00124177E-01,+1.50021292E+00
+7.50000000E-01,+0.00000000E+00,+4.96649096E-02,+1.62961063E-01,+1.70361120E-01,+1.27497327E+00,+1.48826910E-02,+1.98785658E-01,+1.99341998E-01,+1.49606771E+00
+7.60000000E-01,+0.00000000E+00,+5.04442024E-02,+1.62109570E-01,+1.69776707E-01,+1.26912040E+00,+1.56619837E-02,+1.97934165E-01,+1.98552843E-01,+1.49183361E+00
+7.70000000E-01,+0.00000000E+00,+5.12338170E-02,+1.61246799E-01,+1.69190526E-01,+1.26314897E+00,+1.64515983E-02,+1.97071394E-01,+1.97756895E-01,+1.48750905E+00
+7.80000000E-01,+0.00000000E+00,+5.20337533E-02,+1.60372750E-01,+1.68602878E-01,+1.25705737E+00,+1.72515346E-02,+1.96197345E-01,+1.96954344E-01,+1.48309239E+00
+7.90000000E-01,+0.00000000E+00,+5.28440113E-02,+1.59487423E-01,+1.68014070E-01,+1.25084396E+00,+1.80617926E-02,+1.95312018E-01,+1.96145386E-01,+1.47858199E+00
+8.00000000E-01,+0.00000000E+00,+5.36645911E-02,+1.58590818E-01,+1.67424418E-01,+1.24450710E+00,+1.88823725E-02,+1.94415412E-01,+1.95330224E-01,+1.47397616E+00
+8.10000000E-01,+0.00000000E+00,+5.44954927E-02,+1.57682934E-01,+1.66834249E-01,+1.23804516E+00,+1.97132740E-02,+1.93507529E-01,+1.94509067E-01,+1.46927315E+00
+8.20000000E-01,+0.00000000E+00,+5.53367161E-02,+1.56763773E-01,+1.66243895E-01,+1.23145649E+00,+2.05544974E-02,+1.92588368E-01,+1.93682128E-01,+1.46447120E+00
+8.30000000E-01,+0.00000000E+00,+5.61882612E-02,+1.55833334E-01,+1.65653701E-01,+1.22473944E+00,+2.14060425E-02,+1.91657929E-01,+1.92849631E-01,+1.45956851E+00
+8.40000000E-01,+0.00000000E+00,+5.70501280E-02,+1.54891616E-01,+1.65064018E-01,+1.21789237E+00,+2.22679093E-02,+1.90716211E-01,+1.92011804E-01,+1.45456322E+00
+8.50000000E-01,+0.00000000E+00,+5.79223166E-02,+1.53938621E-01,+1.64475207E-01,+1.21091365E+00,+2.31400979E-02,+1.89763216E-01,+1.91168884E-01,+1.44945345E+00
+8.60000000E-01,+0.00000000E+00,+5.88048270E-02,+1.52974347E-01,+1.63887640E-01,+1.20380166E+00,+2.40226083E-02,+1.88798942E-01,+1.90321114E-01,+1.44423729E+00
+8.70000000E-01,+0.00000000E+00,+5.96976591E-02,+1.51998796E-01,+1.63301698E-01,+1.19655478E+00,+2.49154405E-02,+1.87823391E-01,+1.89468745E-01,+1.43891276E+00
+8.80000000E-01,+0.00000000E+00,+6.06008130E-02,+1.51011966E-01,+1.62717769E-01,+1.18917141E+00,+2.58185943E-02,+1.86836561E-01,+1.88612037E-01,+1.43347787E+00
+8.90000000E-01,+0.00000000E+00,+6.15142887E-02,+1.50013859E-01,+1.62136256E-01,+1.18164998E+00,+2.67320700E-02,+1.85838453E-01,+1.87751256E-01,+1.42793058E+00
+9.00000000E-01,+0.00000000E+00,+6.24380861E-02,+1.49004473E-01,+1.61557567E-01,+1.17398894E+00,+2.76558674E-02,+1.84829068E-01,+1.86886680E-01,+1.42226882E+00
+9.10000000E-01,+0.00000000E+00,+6.33722052E-02,+1.47983809E-01,+1.60982124E-01,+1.16618675E+00,+2.85899866E-02,+1.83808404E-01,+1.86018592E-01,+1.41649047E+00
+9.20000000E-01,+0.00000000E+00,+6.43166462E-02,+1.46951867E-01,+1.60410356E-01,+1.15824194E+00,+2.95344275E-02,+1.82776462E-01,+1.85147286E-01,+1.41059338E+00
+9.30000000E-01,+0.00000000E+00,+6.52714088E-02,+1.45908647E-01,+1.59842704E-01,+1.15015304E+00,+3.04891902E-02,+1.81733242E-01,+1.84273064E-01,+1.40457538E+00
+9.40000000E-01,+0.00000000E+00,+6.62364933E-02,+1.44854149E-01,+1.59279621E-01,+1.14191864E+00,+3.14542746E-02,+1.80678744E-01,+1.83396238E-01,+1.39843423E+00
+9.50000000E-01,+0.00000000E+00,+6.72118995E-02,+1.43788373E-01,+1.58721567E-01,+1.13353739E+00,+3.24296808E-02,+1.79612968E-01,+1.82517129E-01,+1.39216768E+00
+9.60000000E-01,+0.00000000E+00,+6.81976274E-02,+1.42711319E-01,+1.58169014E-01,+1.12500797E+00,+3.34154088E-02,+1.78535914E-01,+1.81636071E-01,+1.38577346E+00
+9.70000000E-01,+0.00000000E+00,+6.91936772E-02,+1.41622987E-01,+1.57622446E-01,+1.11632913E+00,+3.44114585E-02,+1.77447582E-01,+1.80753403E-01,+1.37924923E+00
+9.80000000E-01,+0.00000000E+00,+7.02000486E-02,+1.40523377E-01,+1.57082355E-01,+1.10749970E+00,+3.54178300E-02,+1.76347972E-01,+1.79869480E-01,+1.37259264E+00
+9.90000000E-01,+0.00000000E+00,+7.12167419E-02,+1.39412489E-01,+1.56549246E-01,+1.09851855E+00,+3.64345232E-02,+1.75237084E-01,+1.78984664E-01,+1.36580133E+00
+1.00000000E+00,+0.00000000E+00,+7.22437569E-02,+1.38290323E-01,+1.56023632E-01,+1.08938465E+00,+3.74615382E-02,+1.74114917E-01,+1.78099330E-01,+1.35887288E+00
