s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+9.90000000E-02,+0.00000000E+00,+1.30464256E-01,-9.91453014E-01,+1.00000000E+00,-1.43995910E+00,+1.37727316E-01,-9.90470185E-01,+1.00000000E+00,-1.43262983E+00
+1.00000000E-01,+0.00000000E+00,+1.29913730E-01,-9.91525301E-01,+1.00000000E+00,-1.44051436E+00,+1.37326148E-01,-9.90525885E-01,+1.00000000E+00,-1.43303485E+00
+1.01000000E-01,+0.00000000E+00,+1.29357440E-01,-9.91598030E-01,+1.00000000E+00,-1.44107538E+00,+1.36920792E-01,-9.90581999E-01,+1.00000000E+00,-1.43344407E+00
+1.02000000E-01,+0.00000000E+00,+1.28795379E-01,-9.91671191E-01,+1.00000000E+00,-1.44164218E+00,+1.36511241E-01,-9.90638522E-01,+1.00000000E+00,-1.43385750E+00
+1.03000000E-01,+0.00000000E+00,+1.28227541E-01,-9.91744775E-01,+1.00000000E+00,-1.44221477E+00,+1.36097491E-01,-9.90695449E-01,+1.00000000E+00,-1.43427515E+00
+1.04000000E-01,+0.00000000E+00,+1.27653918E-01,-9.91818772E-01,+1.00000000E+00,-1.44279314E+00,+1.35679538E-01,-9.90752776E-01,+1.00000000E+00,-1.43469702E+00
+1.05000000E-01,+0.00000000E+00,+1.27074503E-01,-9.91893175E-01,+1.00000000E+00,-1.44337732E+00,+1.35257376E-01,-9.90810498E-01,+1.00000000E+00,-1.43512311E+00
+1.06000000E-01,+0.00000000E+00,+1.26489289E-01,-9.91967973E-01,+1.00000000E+00,-1.44396729E+00,+1.34831000E-01,-9.90868610E-01,+1.00000000E+00,-1.43555342E+00
+1.07000000E-01,+0.00000000E+00,+1.25898270E-01,-9.92043157E-01,+1.00000000E+00,-1.44456307E+00,+1.34400405E-01,-9.90927107E-01,+1.00000000E+00,-1.43598797E+00
+1.08000000E-01,+0.00000000E+00,+1.25301437E-01,-9.92118718E-01,+1.00000000E+00,-1.44516467E+00,+1.33965587E-01,-9.90985985E-01,+1.00000000E+00,-1.43642676E+00
+1.09000000E-01,+0.00000000E+00,+1.24698784E-01,-9.92194645E-01,+1.00000000E+00,-1.44577209E+00,+1.33526540E-01,-9.91045238E-01,+1.00000000E+00,-1.43686979E+00
+1.10000000E-01,+0.00000000E+00,+1.24090303E-01,-9.92270929E-01,+1.00000000E+00,-1.44638533E+00,+1.33083258E-01,-9.91104861E-01,+1.00000000E+00,-1.43731706E+00
+1.11000000E-01,+0.00000000E+00,+1.23475988E-01,-9.92347560E-01,+1.00000000E+00,-1.44700441E+00,+1.32635738E-01,-9.91164851E-01,+1.00000000E+00,-1.43776858E+00
